Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment02,Chrome 67.0.3396.87,,2018-06-23 17:18:58,2018-06-23 17:20:26,1m - 27.708s,ERROR
,,,,,,
Test Cases/Health checks/TC-44703,Chrome 67.0.3396.87,,2018-06-23 17:18:59,2018-06-23 17:20:25,1m - 25.838s,ERROR
openBrowser,Chrome 67.0.3396.87,,2018-06-23 17:19:00,2018-06-23 17:19:08,7.746s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-23 17:19:08,2018-06-23 17:19:20,12.048s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-23 17:19:20,2018-06-23 17:19:25,5.471s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-23 17:19:25,2018-06-23 17:19:27,1.978s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:19:27,2018-06-23 17:19:28,0.359s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-23 17:19:28,2018-06-23 17:19:30,2.038s,PASSED
Statement - Try,Chrome 67.0.3396.87,,2018-06-23 17:19:30,2018-06-23 17:19:30,0.100s,ERROR
Statement - Catch (Exception e),Chrome 67.0.3396.87,,2018-06-23 17:19:30,2018-06-23 17:19:30,0.033s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-23 17:19:30,2018-06-23 17:19:30,0.063s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-23 17:19:30,2018-06-23 17:19:39,8.807s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-23 17:19:39,2018-06-23 17:19:41,1.769s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:19:41,2018-06-23 17:19:52,11.664s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:19:52,2018-06-23 17:19:54,1.679s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:19:54,2018-06-23 17:19:55,1.393s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:19:55,2018-06-23 17:19:57,1.290s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:19:57,2018-06-23 17:19:58,1.326s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:19:58,2018-06-23 17:19:59,1.352s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:19:59,2018-06-23 17:20:01,1.522s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:20:01,2018-06-23 17:20:02,1.388s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:20:02,2018-06-23 17:20:04,1.487s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:20:04,2018-06-23 17:20:05,1.601s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:20:05,2018-06-23 17:20:17,11.434s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:20:17,2018-06-23 17:20:17,0.142s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-23 17:20:17,2018-06-23 17:20:19,2.400s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:20:19,2018-06-23 17:20:19,0.166s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-23 17:20:19,2018-06-23 17:20:25,5.320s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-23 17:20:25,2018-06-23 17:20:25,0.179s,PASSED
