Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment01,Chrome 67.0.3396.87,,2018-06-24 11:58:47,2018-06-24 11:59:53,1m - 5.146s,PASSED
,,,,,,
Test Cases/Health checks/TC-44702,Chrome 67.0.3396.87,,2018-06-24 11:58:48,2018-06-24 11:59:53,1m - 4.156s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 11:58:50,2018-06-24 11:59:02,11.868s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 11:59:02,2018-06-24 11:59:16,14.065s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 11:59:16,2018-06-24 11:59:22,5.689s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 11:59:22,2018-06-24 11:59:25,3.415s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 11:59:25,2018-06-24 11:59:26,0.614s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 11:59:26,2018-06-24 11:59:28,2.037s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 11:59:28,2018-06-24 11:59:28,0.118s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 11:59:28,2018-06-24 11:59:37,9.070s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-24 11:59:37,2018-06-24 11:59:39,2.365s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 11:59:39,2018-06-24 11:59:46,6.795s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 11:59:46,2018-06-24 11:59:46,0.195s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-24 11:59:46,2018-06-24 11:59:49,2.271s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 11:59:49,2018-06-24 11:59:49,0.293s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 11:59:49,2018-06-24 11:59:51,2.237s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-24 11:59:51,2018-06-24 11:59:51,0.197s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-24 11:59:51,2018-06-24 11:59:53,1.288s,PASSED
