Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment01,Chrome 67.0.3396.87,,2018-06-24 12:01:52,2018-06-24 12:03:03,1m - 10.371s,PASSED
,,,,,,
Test Cases/Health checks/TC-44702,Chrome 67.0.3396.87,,2018-06-24 12:01:54,2018-06-24 12:03:03,1m - 8.927s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 12:01:56,2018-06-24 12:02:13,16.911s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 12:02:13,2018-06-24 12:02:28,14.687s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 12:02:28,2018-06-24 12:02:34,5.965s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 12:02:34,2018-06-24 12:02:36,2.514s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:02:36,2018-06-24 12:02:37,0.491s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 12:02:37,2018-06-24 12:02:39,2.033s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:02:39,0.243s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 12:02:39,2018-06-24 12:02:48,9.493s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-24 12:02:48,2018-06-24 12:02:51,2.702s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 12:02:51,2018-06-24 12:02:58,6.834s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:02:58,2018-06-24 12:02:58,0.346s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-24 12:02:58,2018-06-24 12:03:00,1.261s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 12:03:00,2018-06-24 12:03:00,0.249s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 12:03:00,2018-06-24 12:03:02,1.717s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-24 12:03:02,2018-06-24 12:03:02,0.123s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-24 12:03:02,2018-06-24 12:03:03,0.986s,PASSED
