Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment02,Chrome 67.0.3396.87,,2018-06-24 10:40:48,2018-06-24 10:41:52,1m - 3.879s,FAILED
,,,,,,
Test Cases/Health checks/TC-44703,Chrome 67.0.3396.87,,2018-06-24 10:40:49,2018-06-24 10:41:51,1m - 1.854s,FAILED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 10:40:51,2018-06-24 10:41:01,10.444s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 10:41:01,2018-06-24 10:41:16,14.169s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 10:41:16,2018-06-24 10:41:21,5.498s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 10:41:21,2018-06-24 10:41:26,4.791s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:41:26,2018-06-24 10:41:26,0.413s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 10:41:26,2018-06-24 10:41:28,2.035s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 10:41:28,2018-06-24 10:41:29,0.986s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 10:41:29,2018-06-24 10:41:38,8.804s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-24 10:41:38,2018-06-24 10:41:40,1.774s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:41:40,2018-06-24 10:41:46,6.351s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:41:46,2018-06-24 10:41:48,1.349s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:41:48,2018-06-24 10:41:49,1.233s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:41:49,2018-06-24 10:41:50,1.229s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:41:50,2018-06-24 10:41:51,1.255s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:41:51,2018-06-24 10:41:51,0.041s,FAILED
