Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment01,Chrome 67.0.3396.87,,2018-06-23 17:17:42,2018-06-23 17:18:54,1m - 12.445s,ERROR
,,,,,,
Test Cases/Health checks/TC-44702,Chrome 67.0.3396.87,,2018-06-23 17:17:43,2018-06-23 17:18:53,1m - 10.841s,ERROR
openBrowser,Chrome 67.0.3396.87,,2018-06-23 17:17:44,2018-06-23 17:17:53,9.643s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-23 17:17:53,2018-06-23 17:18:06,12.783s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-23 17:18:06,2018-06-23 17:18:12,5.568s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-23 17:18:12,2018-06-23 17:18:14,2.700s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:18:14,2018-06-23 17:18:15,0.389s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-23 17:18:15,2018-06-23 17:18:17,2.038s,PASSED
Statement - Try,Chrome 67.0.3396.87,,2018-06-23 17:18:17,2018-06-23 17:18:17,0.244s,ERROR
Statement - Catch (Exception e),Chrome 67.0.3396.87,,2018-06-23 17:18:17,2018-06-23 17:18:17,0.036s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-23 17:18:17,2018-06-23 17:18:17,0.081s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-23 17:18:17,2018-06-23 17:18:26,8.899s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-23 17:18:26,2018-06-23 17:18:28,1.484s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:18:28,2018-06-23 17:18:39,11.659s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:18:39,2018-06-23 17:18:39,0.206s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-23 17:18:39,2018-06-23 17:18:42,2.198s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:18:42,2018-06-23 17:18:42,0.138s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-23 17:18:42,2018-06-23 17:18:47,5.209s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-23 17:18:47,2018-06-23 17:18:53,6.486s,FAILED
