Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment02,Chrome 67.0.3396.87,,2018-06-24 10:43:56,2018-06-24 10:45:16,1m - 19.645s,PASSED
,,,,,,
Test Cases/Health checks/TC-44703,Chrome 67.0.3396.87,,2018-06-24 10:43:57,2018-06-24 10:45:15,1m - 18.535s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 10:43:58,2018-06-24 10:44:05,7.311s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 10:44:05,2018-06-24 10:44:18,12.496s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 10:44:18,2018-06-24 10:44:23,5.488s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 10:44:23,2018-06-24 10:44:26,2.772s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:44:26,2018-06-24 10:44:26,0.286s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 10:44:26,2018-06-24 10:44:28,2.035s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 10:44:28,2018-06-24 10:44:29,1.028s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 10:44:29,2018-06-24 10:44:38,8.802s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-24 10:44:38,2018-06-24 10:44:40,1.746s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:40,2018-06-24 10:44:46,6.507s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:46,2018-06-24 10:44:48,1.400s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:48,2018-06-24 10:44:49,1.245s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:49,2018-06-24 10:44:50,1.352s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:50,2018-06-24 10:44:52,1.319s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:52,2018-06-24 10:44:53,1.370s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:53,2018-06-24 10:44:54,1.329s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:54,2018-06-24 10:44:56,1.397s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:56,2018-06-24 10:44:57,1.468s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:57,2018-06-24 10:44:59,1.499s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-24 10:44:59,2018-06-24 10:45:05,6.331s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:45:05,2018-06-24 10:45:05,0.136s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-24 10:45:05,2018-06-24 10:45:09,3.752s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:45:09,2018-06-24 10:45:09,0.131s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 10:45:09,2018-06-24 10:45:14,5.385s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-24 10:45:14,2018-06-24 10:45:14,0.107s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-24 10:45:14,2018-06-24 10:45:15,0.840s,PASSED
