Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment01,Chrome 67.0.3396.87,,2018-06-24 10:40:48,2018-06-24 10:41:32,43.457s,FAILED
,,,,,,
Test Cases/Health checks/TC-44702,Chrome 67.0.3396.87,,2018-06-24 10:40:49,2018-06-24 10:41:31,41.173s,FAILED
openBrowser,Chrome 67.0.3396.87,,2018-06-24 10:40:51,2018-06-24 10:41:01,10.512s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-24 10:41:01,2018-06-24 10:41:14,12.421s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-24 10:41:14,2018-06-24 10:41:19,5.556s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-24 10:41:19,2018-06-24 10:41:23,3.295s,PASSED
click,Chrome 67.0.3396.87,,2018-06-24 10:41:23,2018-06-24 10:41:23,0.399s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-24 10:41:23,2018-06-24 10:41:25,2.039s,PASSED
Statement - If (displayed),Chrome 67.0.3396.87,,2018-06-24 10:41:25,2018-06-24 10:41:25,0.211s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-24 10:41:25,2018-06-24 10:41:31,5.243s,FAILED
