Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
payment01,Chrome 67.0.3396.87,,2018-06-23 17:12:04,2018-06-23 17:13:21,1m - 16.974s,ERROR
,,,,,,
Test Cases/Health checks/TC-44702,Chrome 67.0.3396.87,,2018-06-23 17:12:06,2018-06-23 17:13:20,1m - 14.339s,ERROR
openBrowser,Chrome 67.0.3396.87,,2018-06-23 17:12:07,2018-06-23 17:12:22,14.930s,PASSED
browserHelper.Users.Login,Chrome 67.0.3396.87,,2018-06-23 17:12:22,2018-06-23 17:12:39,17.054s,PASSED
browserHelper.Navigation.NavigateToAccount,Chrome 67.0.3396.87,,2018-06-23 17:12:39,2018-06-23 17:12:44,5.577s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-23 17:12:44,2018-06-23 17:12:47,2.229s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:12:47,2018-06-23 17:12:48,0.854s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-23 17:12:48,2018-06-23 17:12:50,2.039s,PASSED
Statement - Try,Chrome 67.0.3396.87,,2018-06-23 17:12:50,2018-06-23 17:12:50,0.194s,ERROR
Statement - Catch (Exception e),Chrome 67.0.3396.87,,2018-06-23 17:12:50,2018-06-23 17:12:50,0.038s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-23 17:12:50,2018-06-23 17:12:50,0.072s,PASSED
browserHelper.Dropdown.DropdownHelper,Chrome 67.0.3396.87,,2018-06-23 17:12:50,2018-06-23 17:12:59,9.150s,PASSED
browserHelper.Date.SetDate,Chrome 67.0.3396.87,,2018-06-23 17:12:59,2018-06-23 17:13:02,2.575s,PASSED
browserHelper.Payments.EnterPayment,Chrome 67.0.3396.87,,2018-06-23 17:13:02,2018-06-23 17:13:14,11.908s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:13:14,2018-06-23 17:13:14,0.366s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.87,,2018-06-23 17:13:14,2018-06-23 17:13:17,3.238s,PASSED
click,Chrome 67.0.3396.87,,2018-06-23 17:13:17,2018-06-23 17:13:17,0.324s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-23 17:13:17,2018-06-23 17:13:20,2.307s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-23 17:13:20,2018-06-23 17:13:20,0.159s,PASSED
